"sid" "first.saccade.latency" "type" "N"
"06fbf" 0.215436935424805 "data" 189
"06fbf" 0.225509166717529 "data" 189
"06fbf" 0.27614688873291 "data" 189
"06fbf" 0.215031862258911 "data" 189
"06fbf" 0.273478984832764 "data" 189
"06fbf" 0.284381866455078 "data" 189
"06fbf" 0.273098945617676 "data" 189
"06fbf" 0.329633951187134 "data" 189
"06fbf" 0.244338989257812 "data" 189
"06fbf" 0.439589023590088 "data" 189
"06fbf" 0.477356910705566 "data" 189
"06fbf" 0.272653102874756 "data" 189
"06fbf" 0.505344867706299 "data" 189
"06fbf" 0.30607795715332 "data" 189
"06fbf" 0.252214908599854 "data" 189
"06fbf" 0.239001989364624 "data" 189
"06fbf" 0.282850980758667 "data" 189
"06fbf" 0.222705841064453 "data" 189
"06fbf" 0.359090089797974 "data" 189
"06fbf" 0.505908966064453 "data" 189
"06fbf" 0.293408870697021 "data" 189
"06fbf" 0.258782863616943 "data" 189
"06fbf" 0.440732002258301 "data" 189
"06fbf" 0.246227025985718 "data" 189
"06fbf" 0.289336919784546 "data" 189
"06fbf" 0.220858812332153 "data" 189
"06fbf" 0.222023010253906 "data" 189
"06fbf" 0.221308946609497 "data" 189
"06fbf" 0.468948125839233 "data" 189
"06fbf" 0.250738143920898 "data" 189
"06fbf" 0.291184902191162 "data" 189
"06fbf" 0.337126016616821 "data" 189
"06fbf" 0.257601022720337 "data" 189
"06fbf" 0.25993800163269 "data" 189
"06fbf" 0.258861064910889 "data" 189
"06fbf" 0.273569107055664 "data" 189
"06fbf" 0.325685977935791 "data" 189
"06fbf" 0.221575975418091 "data" 189
"06fbf" 0.306536912918091 "data" 189
"06fbf" 0.220016002655029 "data" 189
"06fbf" 0.277143955230713 "data" 189
"06fbf" 0.270382881164551 "data" 189
"06fbf" 0.22158408164978 "data" 189
"06fbf" 0.385601997375488 "data" 189
"06fbf" 0.215327024459839 "data" 189
"06fbf" 0.243777990341187 "data" 189
"06fbf" 0.272700071334839 "data" 189
"06fbf" 0.262460947036743 "data" 189
"06fbf" 0.218825817108154 "data" 189
"06fbf" 0.271528005599976 "data" 189
"06fbf" 0.271860122680664 "data" 189
"06fbf" 0.2225661277771 "data" 189
"06fbf" 0.362441062927246 "data" 189
"06fbf" 0.240811824798584 "data" 189
"06fbf" 0.305474042892456 "data" 189
"06fbf" 0.21886682510376 "data" 189
"06fbf" 0.281759977340698 "data" 189
"06fbf" 0.238606929779053 "data" 189
