"sid" "first.saccade.latency" "type"
"31fc9" 0.272109985351562 "data"
"31fc9" 0.256986856460571 "data"
"31fc9" 0.271062135696411 "data"
"31fc9" 0.260910034179688 "data"
"31fc9" 0.261630058288574 "data"
"31fc9" 0.257889986038208 "data"
"31fc9" 0.290359973907471 "data"
"31fc9" 0.271845817565918 "data"
"31fc9" 0.252583026885986 "data"
"31fc9" 0.254441022872925 "data"
"31fc9" 0.294095039367676 "data"
"31fc9" 0.259079933166504 "data"
"31fc9" 0.275264978408813 "data"
"31fc9" 0.246717929840088 "data"
"31fc9" 0.272413015365601 "data"
"31fc9" 0.251101016998291 "data"
"31fc9" 0.271160840988159 "data"
"31fc9" 0.246315956115723 "data"
"31fc9" 0.205777883529663 "data"
"31fc9" 0.271072149276733 "data"
"31fc9" 0.240807056427002 "data"
