"sid" "first.saccade.latency" "type" "N"
"06fbf" 0.464364845587274 "model-rsp" 79
"06fbf" 0.439947494069781 "model-rsp" 79
"06fbf" 0.396687589537729 "model-rsp" 79
"06fbf" 0.429663415499096 "model-rsp" 79
"06fbf" 0.326527267259697 "model-rsp" 79
"06fbf" 0.407690648796388 "model-rsp" 79
"06fbf" 0.396561200176944 "model-rsp" 79
"06fbf" 0.493655764440294 "model-rsp" 79
"06fbf" 0.324683359786586 "model-rsp" 79
"06fbf" 0.352316476235119 "model-rsp" 79
"06fbf" 0.384879354855337 "model-rsp" 79
"06fbf" 0.316832203825917 "model-rsp" 79
"06fbf" 0.381674888613814 "model-rsp" 79
"06fbf" 0.435297034051416 "model-rsp" 79
"06fbf" 0.425961196340113 "model-rsp" 79
"06fbf" 0.429226488098478 "model-rsp" 79
"06fbf" 0.432282798295362 "model-rsp" 79
"06fbf" 0.318191078632712 "model-rsp" 79
"06fbf" 0.382735363066662 "model-rsp" 79
"06fbf" 0.43568973424361 "model-rsp" 79
"06fbf" 0.371722140957073 "model-rsp" 79
"06fbf" 0.368426533725504 "model-rsp" 79
"06fbf" 0.380541582157422 "model-rsp" 79
"06fbf" 0.452430529018778 "model-rsp" 79
"06fbf" 0.367072020847552 "model-rsp" 79
"06fbf" 0.328578623833617 "model-rsp" 79
"06fbf" 0.351091862354209 "model-rsp" 79
"06fbf" 0.35210204519487 "model-rsp" 79
"06fbf" 0.371256775556934 "model-rsp" 79
"06fbf" 0.398769565466617 "model-rsp" 79
"06fbf" 0.392889942589031 "model-rsp" 79
"1f330" 0.304427146911621 "data" 181
"1f330" 0.370086908340454 "data" 181
"1f330" 0.315317153930664 "data" 181
"1f330" 0.309444904327393 "data" 181
"1f330" 0.271774053573608 "data" 181
"1f330" 0.254580974578857 "data" 181
"1f330" 0.31269907951355 "data" 181
"1f330" 0.287478923797607 "data" 181
"1f330" 0.284191846847534 "data" 181
"1f330" 0.309413909912109 "data" 181
"1f330" 0.306401968002319 "data" 181
"1f330" 0.315537214279175 "data" 181
"1f330" 0.380393981933594 "data" 181
"1f330" 0.429315805435181 "data" 181
"1f330" 0.322741985321045 "data" 181
"1f330" 0.420660018920898 "data" 181
"1f330" 0.306488990783691 "data" 181
"1f330" 0.28021502494812 "data" 181
"1f330" 0.304216861724854 "data" 181
"1f330" 0.277124881744385 "data" 181
"1f330" 0.303719997406006 "data" 181
"1f330" 0.323884963989258 "data" 181
"1f330" 0.382577180862427 "data" 181
"1f330" 0.270978927612305 "data" 181
"1f330" 0.321577072143555 "data" 181
"1f330" 0.272402048110962 "data" 181
"1f330" 0.293584108352661 "data" 181
"1f330" 0.290051937103271 "data" 181
"1f330" 0.304175853729248 "data" 181
"1f330" 0.305050134658813 "data" 181
"1f330" 0.337200164794922 "data" 181
"1f330" 0.274556875228882 "data" 181
"1f330" 0.40982985496521 "data" 181
"1f330" 0.444499015808105 "data" 181
"1f330" 0.303980112075806 "data" 181
"1f330" 0.394768953323364 "data" 181
"1f330" 0.338129997253418 "data" 181
"1f330" 0.389035940170288 "data" 181
"1f330" 0.336688041687012 "data" 181
"1f330" 0.361754894256592 "data" 181
"1f330" 0.420217990875244 "data" 181
"1f330" 0.291517972946167 "data" 181
"1f330" 0.348680019378662 "data" 181
"1f330" 0.260048151016235 "data" 181
"1f330" 0.318037033081055 "data" 181
"1f330" 0.349589109420776 "data" 181
"1f330" 0.289721012115479 "data" 181
"1f330" 0.305616855621338 "data" 181
"1f330" 0.381986856460571 "data" 181
"1f330" 0.338270902633667 "data" 181
"1f330" 0.404422998428345 "data" 181
"1f330" 0.278249025344849 "data" 181
"1f330" 0.320972919464111 "data" 181
"1f330" 0.535945892333984 "data" 181
"1f330" 0.406319856643677 "data" 181
"1f330" 0.291028022766113 "data" 181
"1f330" 0.317537069320679 "data" 181
"1f330" 0.309977054595947 "data" 181
"1f330" 0.289063930511475 "data" 181
"1f330" 0.414641857147217 "data" 181
"1f330" 0.281183004379272 "data" 181
"1f330" 0.26046895980835 "data" 181
"1f330" 0.421242952346802 "data" 181
"1f330" 0.211673021316528 "data" 181
"1f330" 0.306649923324585 "data" 181
"1f330" 0.284395933151245 "data" 181
"1f330" 0.342193126678467 "data" 181
"1f330" 0.470402002334595 "data" 181
"1f330" 0.406230926513672 "data" 181
"1f330" 0.304012060165405 "data" 181
"1f330" 0.291275978088379 "data" 181
"1f330" 0.258050918579102 "data" 181
"1f330" 0.317509174346924 "data" 181
"1f330" 0.337593078613281 "data" 181
"1f330" 0.263504028320312 "data" 181
"1f330" 0.292248964309692 "data" 181
"1f330" 0.324932098388672 "data" 181
"1f330" 0.290182113647461 "data" 181
"1f330" 0.37851095199585 "data" 181
"1f330" 0.371058940887451 "data" 181
"1f330" 0.4427170753479 "data" 181
"1f330" 0.313410043716431 "data" 181
"1f330" 0.304277896881104 "data" 181
"1f330" 0.338654041290283 "data" 181
"1f330" 0.312744140625 "data" 181
"1f330" 0.418917894363403 "data" 181
"1f330" 0.28975510597229 "data" 181
"1f330" 0.291449069976807 "data" 181
"1f330" 0.3907470703125 "data" 181
"1f330" 0.451618909835815 "data" 181
"1f330" 0.306236982345581 "data" 181
"1f330" 0.297025918960571 "data" 181
"1f330" 0.309598207473755 "data" 181
"1f330" 0.37640905380249 "data" 181
"1f330" 0.439239978790283 "data" 181
"1f330" 0.304817914962769 "data" 181
"1f330" 0.308727979660034 "data" 181
"1f330" 0.338184118270874 "data" 181
"1f330" 0.286494970321655 "data" 181
"1f330" 0.260594129562378 "data" 181
"1f330" 0.292220115661621 "data" 181
"1f330" 0.239648103713989 "data" 181
"1f330" 0.30855917930603 "data" 181
"1f330" 0.318347930908203 "data" 181
"1f330" 0.336934089660645 "data" 181
"1f330" 0.287225961685181 "data" 181
"1f330" 0.281714916229248 "data" 181
"1f330" 0.308728933334351 "data" 181
"1f330" 0.361583948135376 "data" 181
"1f330" 0.257900953292847 "data" 181
"1f330" 0.290130138397217 "data" 181
"1f330" 0.272717952728271 "data" 181
"1f330" 0.306188106536865 "data" 181
"1f330" 0.244084119796753 "data" 181
"1f330" 0.338625192642212 "data" 181
"1f330" 0.374730825424194 "data" 181
"1f330" 0.35169792175293 "data" 181
"1f330" 0.278807878494263 "data" 181
"1f330" 0.295872926712036 "data" 181
"1f330" 0.342346906661987 "data" 181
"1f330" 0.315351009368896 "data" 181
"1f330" 0.347049951553345 "data" 181
"1f330" 0.344045877456665 "data" 181
"1f330" 0.293478012084961 "data" 181
"1f330" 0.272006034851074 "data" 181
"1f330" 0.306014060974121 "data" 181
"1f330" 0.336816072463989 "data" 181
"1f330" 0.354411125183105 "data" 181
"1f330" 0.351955890655518 "data" 181
"1f330" 0.449387073516846 "data" 181
"1f330" 0.490415096282959 "data" 181
"1f330" 0.328155040740967 "data" 181
"1f330" 0.29279899597168 "data" 181
"1f330" 0.281850099563599 "data" 181
"1f330" 0.308109045028687 "data" 181
"1f330" 0.304908990859985 "data" 181
"1f330" 0.314251899719238 "data" 181
"1f330" 0.570641994476318 "data" 181
"1f330" 0.361824035644531 "data" 181
"1f330" 0.439547061920166 "data" 181
"1f330" 0.343964099884033 "data" 181
"1f330" 0.314229011535645 "data" 181
"1f330" 0.262463092803955 "data" 181
"1f330" 0.314825057983398 "data" 181
"1f330" 0.30878210067749 "data" 181
"1f330" 0.355618000030518 "data" 181
"1f330" 0.304598808288574 "data" 181
"1f330" 0.303714990615845 "data" 181
"1f330" 0.278133869171143 "data" 181
"1f330" 0.261835813522339 "data" 181
"1f330" 0.369541883468628 "data" 181
"1f330" 0.29381799697876 "data" 181
"1f330" 0.305679798126221 "data" 181
"1f330" 0.280533075332642 "data" 181
"1f330" 0.31987190246582 "data" 181
"1f330" 0.380865097045898 "data" 181
"1f330" 0.296304225921631 "data" 181
"1f330" 0.595700025558472 "data" 181
"1f330" 0.355196952819824 "data" 181
"1f330" 0.32825493812561 "data" 181
"1f330" 0.292626142501831 "data" 181
"1f330" 0.316311120986938 "data" 181
"1f330" 0.475056171417236 "data" 181
"1f330" 0.359205007553101 "data" 181
"1f330" 0.306423902511597 "data" 181
"1f330" 0.271006107330322 "data" 181
"1f330" 0.308416128158569 "data" 181
"1f330" 0.43842887878418 "data" 181
"1f330" 0.282827138900757 "data" 181
"1f330" 0.286477088928223 "data" 181
"1f330" 0.337757110595703 "data" 181
"1f330" 0.286539077758789 "data" 181
"1f330" 0.304099082946777 "data" 181
"1f330" 0.338537931442261 "data" 181
"1f330" 0.304263114929199 "data" 181
"1f330" 0.469671964645386 "data" 181
"1f330" 0.387969970703125 "data" 181
"1f330" 0.291166067123413 "data" 181
"1f330" 0.287039995193481 "data" 181
"1f330" 0.337871074676514 "data" 181
"1f330" 0.395682096481323 "data" 181
"1f330" 0.543010971828465 "model-lat" 181
"1f330" 0.29643027384892 "model-lat" 181
"1f330" 0.286835156106932 "model-lat" 181
"1f330" 0.307660531059309 "model-lat" 181
"1f330" 0.295173503406634 "model-lat" 181
"1f330" 0.386622855885838 "model-lat" 181
"1f330" 0.27789306431921 "model-lat" 181
"1f330" 0.282827102746682 "model-lat" 181
"1f330" 0.267231482941525 "model-lat" 181
"1f330" 0.268072962153283 "model-lat" 181
"1f330" 0.364559368479161 "model-lat" 181
"1f330" 0.320499641422046 "model-lat" 181
"1f330" 0.296746672173692 "model-lat" 181
"1f330" 0.313694011597593 "model-lat" 181
"1f330" 0.340594807675834 "model-lat" 181
"1f330" 0.362562754831582 "model-lat" 181
"1f330" 0.275769514875347 "model-lat" 181
"1f330" 0.308277137932524 "model-lat" 181
"1f330" 0.315299091553425 "model-lat" 181
"1f330" 0.311118315011394 "model-lat" 181
"1f330" 0.369469988875717 "model-lat" 181
"1f330" 0.380009079896264 "model-lat" 181
"1f330" 0.316511338575589 "model-lat" 181
"1f330" 0.314957492460245 "model-lat" 181
"1f330" 0.339542343333014 "model-lat" 181
"1f330" 0.300734458673275 "model-lat" 181
"1f330" 0.332911398471695 "model-lat" 181
"1f330" 0.340712555865374 "model-lat" 181
"1f330" 0.28122798342249 "model-lat" 181
"1f330" 0.313281552298243 "model-lat" 181
